行號,中國語文科成績,類別,英國語文科成績 - 5**,英國語文科成績 - 5*,英國語文科成績 - 5,英國語文科成績 - 4,英國語文科成績 - 3,英國語文科成績 - 2,英國語文科成績 - 1,英國語文科成績 - U,總數
1,5**,人數,82,98,88,118,53,5,1,,445
2,5**,百分比,0.2%,0.2%,0.2%,0.3%,0.1%,0.0%,0.0%,,1.1%
3,5*,人數,98,223,299,437,247,57,3,,1364
4,5*,百分比,0.2%,0.5%,0.7%,1.1%,0.6%,0.1%,0.0%,,3.3%
5,5,人數,77,246,447,1008,711,194,16,4,2703
6,5,百分比,0.2%,0.6%,1.1%,2.5%,1.7%,0.5%,0.0%,0.0%,6.6%
7,4,人數,99,389,885,2874,3392,1506,203,16,9364
8,4,百分比,0.2%,1.0%,2.2%,7.0%,8.3%,3.7%,0.5%,0.0%,22.9%
9,3,人數,55,207,483,2170,4520,4013,1139,193,12780
10,3,百分比,0.1%,0.5%,1.2%,5.3%,11.1%,9.8%,2.8%,0.5%,31.3%
11,2,人數,9,62,151,577,1779,3790,2482,1169,10019
12,2,百分比,0.0%,0.2%,0.4%,1.4%,4.4%,9.3%,6.1%,2.9%,24.5%
13,1,人數,,5,19,90,154,551,918,1336,3073
14,1,百分比,,0.0%,0.0%,0.2%,0.4%,1.3%,2.2%,3.3%,7.5%
15,U,人數,,1,5,25,42,77,170,782,1102
16,U,百分比,,0.0%,0.0%,0.1%,0.1%,0.2%,0.4%,1.9%,2.7%
17,總數,人數,420,1231,2377,7299,10898,10193,4932,3500,40850
18,總數,百分比,1.0%,3.0%,5.8%,17.9%,26.7%,25.0%,12.1%,8.6%,100.0%
