行號,中國語文科成績,類別,英國語文科成績 - 5**,英國語文科成績 - 5*,英國語文科成績 - 5,英國語文科成績 - 4,英國語文科成績 - 3,英國語文科成績 - 2,英國語文科成績 - 1,英國語文科成績 - U,總數,,,,,,,,,,
1,5**,人數,93,126,108,121,55,10,,,513,,,,,,,,,,
2,5**,百分比,0.2%,0.2%,0.2%,0.2%,0.1%,0.0%,,,1.0%,,,,,,,,,,
3,5*,人數,111,247,351,513,203,34,2,,1461,,,,,,,,,,
4,5*,百分比,0.2%,0.5%,0.7%,1.0%,0.4%,0.1%,0.0%,,2.9%,,,,,,,,,,
5,5,人數,104,330,587,1192,677,177,9,,3076,,,,,,,,,,
6,5,百分比,0.2%,0.6%,1.2%,2.3%,1.3%,0.3%,0.0%,,6.0%,,,,,,,,,,
7,4,人數,110,408,971,3514,3671,1389,170,18,10251,,,,,,,,,,
8,4,百分比,0.2%,0.8%,1.9%,6.9%,7.2%,2.7%,0.3%,0.0%,20.1%,,,,,,,,,,
9,3,人數,36,136,456,2515,5324,4025,892,117,13501,,,,,,,,,,
10,3,百分比,0.1%,0.3%,0.9%,4.9%,10.5%,7.9%,1.8%,0.2%,26.5%,,,,,,,,,,
11,2,人數,11,44,126,824,3267,6204,3398,1086,14960,,,,,,,,,,
12,2,百分比,0.0%,0.1%,0.2%,1.6%,6.4%,12.2%,6.7%,2.1%,29.4%,,,,,,,,,,
13,1,人數,2,5,12,62,304,1263,1999,2153,5800,,,,,,,,,,
14,1,百分比,0.0%,0.0%,0.0%,0.1%,0.6%,2.5%,3.9%,4.2%,11.4%,,,,,,,,,,
15,U,人數,,1,2,11,23,86,230,1003,1356,,,,,,,,,,
16,U,百分比,,0.0%,0.0%,0.0%,0.0%,0.2%,0.5%,2.0%,2.7%,,,,,,,,,,
17,總數,人數,467,1297,2613,8752,13524,13188,6700,4377,50918,,,,,,,,,,
18,總數,百分比,0.9%,2.5%,5.1%,17.2%,26.6%,25.9%,13.2%,8.6%,100.0%,,,,,,,,,,
