行號,科目,科目_2,性別,類別,報考人數,應考人數,達標並表現優異(II),"達標並表現優異(I)
或以上",達標或以上,未達標
1,應用科學,動物護理,男生,人數,15,15,2,9,14,1
2,應用科學,動物護理,男生,百分比,,,13.3%,60.0%,93.3%,6.7%
3,應用科學,動物護理,女生,人數,35,33,10,23,33,0
4,應用科學,動物護理,女生,百分比,,,30.3%,69.7%,100.0%,0.0%
5,應用科學,動物護理,總數,人數,50,48,12,32,47,1
6,應用科學,動物護理,總數,百分比,,,25.0%,66.7%,97.9%,2.1%
7,應用科學,應用心理學,男生,人數,69,63,5,22,61,2
8,應用科學,應用心理學,男生,百分比,,,7.9%,34.9%,96.8%,3.2%
9,應用科學,應用心理學,女生,人數,68,67,9,29,66,1
10,應用科學,應用心理學,女生,百分比,,,13.4%,43.3%,98.5%,1.5%
11,應用科學,應用心理學,總數,人數,137,130,14,51,127,3
12,應用科學,應用心理學,總數,百分比,,,10.8%,39.2%,97.7%,2.3%
13,應用科學,運動科學及體適能,男生,人數,44,38,2,12,36,2
14,應用科學,運動科學及體適能,男生,百分比,,,5.3%,31.6%,94.7%,5.3%
15,應用科學,運動科學及體適能,女生,人數,18,17,2,7,17,0
16,應用科學,運動科學及體適能,女生,百分比,,,11.8%,41.2%,100.0%,0.0%
17,應用科學,運動科學及體適能,總數,人數,62,55,4,19,53,2
18,應用科學,運動科學及體適能,總數,百分比,,,7.3%,34.5%,96.4%,3.6%
19,應用科學,中醫藥學基礎,男生,人數,51,43,6,13,38,5
20,應用科學,中醫藥學基礎,男生,百分比,,,14.0%,30.2%,88.4%,11.6%
21,應用科學,中醫藥學基礎,女生,人數,64,62,11,34,59,3
22,應用科學,中醫藥學基礎,女生,百分比,,,17.7%,54.8%,95.2%,4.8%
23,應用科學,中醫藥學基礎,總數,人數,115,105,17,47,97,8
24,應用科學,中醫藥學基礎,總數,百分比,,,16.2%,44.8%,92.4%,7.6%
25,應用科學,健康護理實務,男生,人數,42,38,2,13,37,1
26,應用科學,健康護理實務,男生,百分比,,,5.3%,34.2%,97.4%,2.6%
27,應用科學,健康護理實務,女生,人數,88,82,15,38,82,0
28,應用科學,健康護理實務,女生,百分比,,,18.3%,46.3%,100.0%,0.0%
29,應用科學,健康護理實務,總數,人數,130,120,17,51,119,1
30,應用科學,健康護理實務,總數,百分比,,,14.2%,42.5%,99.2%,0.8%
31,應用科學,實用心理學,男生,人數,60,56,4,16,44,12
32,應用科學,實用心理學,男生,百分比,,,7.1%,28.6%,78.6%,21.4%
33,應用科學,實用心理學,女生,人數,57,55,15,31,53,2
34,應用科學,實用心理學,女生,百分比,,,27.3%,56.4%,96.4%,3.6%
35,應用科學,實用心理學,總數,人數,117,111,19,47,97,14
36,應用科學,實用心理學,總數,百分比,,,17.1%,42.3%,87.4%,12.6%
37,應用科學,運動及體適能教練,男生,人數,97,78,4,11,66,12
38,應用科學,運動及體適能教練,男生,百分比,,,5.1%,14.1%,84.6%,15.4%
39,應用科學,運動及體適能教練,女生,人數,25,22,0,3,19,3
40,應用科學,運動及體適能教練,女生,百分比,,,0.0%,13.6%,86.4%,13.6%
41,應用科學,運動及體適能教練,總數,人數,122,100,4,14,85,15
42,應用科學,運動及體適能教練,總數,百分比,,,4.0%,14.0%,85.0%,15.0%
43,商業、管理及法律,會計實務,男生,人數,25,25,5,11,21,4
44,商業、管理及法律,會計實務,男生,百分比,,,20.0%,44.0%,84.0%,16.0%
45,商業、管理及法律,會計實務,女生,人數,18,18,2,3,17,1
46,商業、管理及法律,會計實務,女生,百分比,,,11.1%,16.7%,94.4%,5.6%
47,商業、管理及法律,會計實務,總數,人數,43,43,7,14,38,5
48,商業、管理及法律,會計實務,總數,百分比,,,16.3%,32.6%,88.4%,11.6%
49,商業、管理及法律,商業數據分析,男生,人數,7,7,1,3,7,0
50,商業、管理及法律,商業數據分析,男生,百分比,,,14.3%,42.9%,100.0%,0.0%
51,商業、管理及法律,商業數據分析,女生,人數,1,1,1,1,1,0
52,商業、管理及法律,商業數據分析,女生,百分比,,,100.0%,100.0%,100.0%,0.0%
53,商業、管理及法律,商業數據分析,總數,人數,8,8,2,4,8,0
54,商業、管理及法律,商業數據分析,總數,百分比,,,25.0%,50.0%,100.0%,0.0%
55,商業、管理及法律,中小企創業實務,男生,人數,18,14,1,4,12,2
56,商業、管理及法律,中小企創業實務,男生,百分比,,,7.1%,28.6%,85.7%,14.3%
57,商業、管理及法律,中小企創業實務,女生,人數,13,13,1,4,12,1
58,商業、管理及法律,中小企創業實務,女生,百分比,,,7.7%,30.8%,92.3%,7.7%
59,商業、管理及法律,中小企創業實務,總數,人數,31,27,2,8,24,3
60,商業、管理及法律,中小企創業實務,總數,百分比,,,7.4%,29.6%,88.9%,11.1%
61,商業、管理及法律,香港執法實務,男生,人數,26,23,0,1,21,2
62,商業、管理及法律,香港執法實務,男生,百分比,,,0.0%,4.3%,91.3%,8.7%
63,商業、管理及法律,香港執法實務,女生,人數,11,11,4,7,11,0
64,商業、管理及法律,香港執法實務,女生,百分比,,,36.4%,63.6%,100.0%,0.0%
65,商業、管理及法律,香港執法實務,總數,人數,37,34,4,8,32,2
66,商業、管理及法律,香港執法實務,總數,百分比,,,11.8%,23.5%,94.1%,5.9%
67,商業、管理及法律,市場營銷及網上推廣,男生,人數,16,11,1,3,10,1
68,商業、管理及法律,市場營銷及網上推廣,男生,百分比,,,9.1%,27.3%,90.9%,9.1%
69,商業、管理及法律,市場營銷及網上推廣,女生,人數,4,3,1,1,3,0
70,商業、管理及法律,市場營銷及網上推廣,女生,百分比,,,33.3%,33.3%,100.0%,0.0%
71,商業、管理及法律,市場營銷及網上推廣,總數,人數,20,14,2,4,13,1
72,商業、管理及法律,市場營銷及網上推廣,總數,百分比,,,14.3%,28.6%,92.9%,7.1%
73,創意學習,電腦遊戲及動畫設計,男生,人數,160,148,3,25,143,5
74,創意學習,電腦遊戲及動畫設計,男生,百分比,,,2.0%,16.9%,96.6%,3.4%
75,創意學習,電腦遊戲及動畫設計,女生,人數,49,48,8,21,47,1
76,創意學習,電腦遊戲及動畫設計,女生,百分比,,,16.7%,43.8%,97.9%,2.1%
77,創意學習,電腦遊戲及動畫設計,總數,人數,209,196,11,46,190,6
78,創意學習,電腦遊戲及動畫設計,總數,百分比,,,5.6%,23.5%,96.9%,3.1%
79,創意學習,時裝及形象設計,男生,人數,32,29,0,4,26,3
80,創意學習,時裝及形象設計,男生,百分比,,,0.0%,13.8%,89.7%,10.3%
81,創意學習,時裝及形象設計,女生,人數,126,114,14,36,112,2
82,創意學習,時裝及形象設計,女生,百分比,,,12.3%,31.6%,98.2%,1.8%
83,創意學習,時裝及形象設計,總數,人數,158,143,14,40,138,5
84,創意學習,時裝及形象設計,總數,百分比,,,9.8%,28.0%,96.5%,3.5%
85,創意學習,室內設計,男生,人數,46,42,1,10,37,5
86,創意學習,室內設計,男生,百分比,,,2.4%,23.8%,88.1%,11.9%
87,創意學習,室內設計,女生,人數,47,46,5,16,46,0
88,創意學習,室內設計,女生,百分比,,,10.9%,34.8%,100.0%,0.0%
89,創意學習,室內設計,總數,人數,93,88,6,26,83,5
90,創意學習,室內設計,總數,百分比,,,6.8%,29.5%,94.3%,5.7%
91,創意學習,珠寶及時尚首飾設計,男生,人數,3,2,0,0,1,1
92,創意學習,珠寶及時尚首飾設計,男生,百分比,,,0.0%,0.0%,50.0%,50.0%
93,創意學習,珠寶及時尚首飾設計,女生,人數,20,19,4,8,19,0
94,創意學習,珠寶及時尚首飾設計,女生,百分比,,,21.1%,42.1%,100.0%,0.0%
95,創意學習,珠寶及時尚首飾設計,總數,人數,23,21,4,8,20,1
96,創意學習,珠寶及時尚首飾設計,總數,百分比,,,19.0%,38.1%,95.2%,4.8%
97,創意學習,舞出新機－舞蹈藝術,男生,人數,4,3,1,3,3,0
98,創意學習,舞出新機－舞蹈藝術,男生,百分比,,,33.3%,100.0%,100.0%,0.0%
99,創意學習,舞出新機－舞蹈藝術,女生,人數,39,39,6,14,39,0
100,創意學習,舞出新機－舞蹈藝術,女生,百分比,,,15.4%,35.9%,100.0%,0.0%
101,創意學習,舞出新機－舞蹈藝術,總數,人數,43,42,7,17,42,0
102,創意學習,舞出新機－舞蹈藝術,總數,百分比,,,16.7%,40.5%,100.0%,0.0%
103,創意學習,由戲開始‧劇藝縱橫,男生,人數,14,13,2,7,13,0
104,創意學習,由戲開始‧劇藝縱橫,男生,百分比,,,15.4%,53.8%,100.0%,0.0%
105,創意學習,由戲開始‧劇藝縱橫,女生,人數,49,48,9,24,48,0
