行號,中國語文科成績,類別,英國語文科成績 - 5**,英國語文科成績 - 5*,英國語文科成績 - 5,英國語文科成績 - 4,英國語文科成績 - 3,英國語文科成績 - 2,英國語文科成績 - 1,英國語文科成績 - U,總數
1,5**,人數,74,95,102,89,34,7,,,401
2,5**,百分比,0.2%,0.2%,0.2%,0.2%,0.1%,0.0%,,,1.0%
3,5*,人數,108,222,248,367,218,31,1,,1195
4,5*,百分比,0.3%,0.5%,0.6%,0.9%,0.5%,0.1%,0.0%,,2.8%
5,5,人數,83,263,443,812,591,173,9,2,2376
6,5,百分比,0.2%,0.6%,1.1%,1.9%,1.4%,0.4%,0.0%,0.0%,5.6%
7,4,人數,115,437,994,2686,3174,1497,195,18,9116
8,4,百分比,0.3%,1.0%,2.4%,6.4%,7.5%,3.6%,0.5%,0.0%,21.7%
9,3,人數,33,205,489,2050,4163,3669,889,113,11611
10,3,百分比,0.1%,0.5%,1.2%,4.9%,9.9%,8.7%,2.1%,0.3%,27.6%
11,2,人數,14,48,163,683,2277,4896,2980,922,11983
12,2,百分比,0.0%,0.1%,0.4%,1.6%,5.4%,11.6%,7.1%,2.2%,28.5%
13,1,人數,,4,19,80,234,794,1515,1551,4197
14,1,百分比,,0.0%,0.0%,0.2%,0.6%,1.9%,3.6%,3.7%,10.0%
15,U,人數,,3,3,17,32,79,208,858,1200
16,U,百分比,,0.0%,0.0%,0.0%,0.1%,0.2%,0.5%,2.0%,2.9%
17,總數,人數,427,1277,2461,6784,10723,11146,5797,3464,42079
18,總數,百分比,1.0%,3.0%,5.8%,16.1%,25.5%,26.5%,13.8%,8.2%,100.0%
