行號,中國語文科成績,類別,英國語文科成績 - 5**,英國語文科成績 - 5*,英國語文科成績 - 5,英國語文科成績 - 4,英國語文科成績 - 3,英國語文科成績 - 2,英國語文科成績 - 1,英國語文科成績 - U,總數
1,5**,人數,72,104,92,112,44,8,,,432
2,5**,百分比,0.2%,0.3%,0.2%,0.3%,0.1%,0.0%,,,1.1%
3,5*,人數,90,214,293,384,235,65,4,,1285
4,5*,百分比,0.2%,0.5%,0.7%,0.9%,0.6%,0.2%,0.0%,,3.2%
5,5,人數,81,229,470,983,651,183,15,,2612
6,5,百分比,0.2%,0.6%,1.2%,2.4%,1.6%,0.5%,0.0%,,6.4%
7,4,人數,111,386,880,2786,3178,1453,188,27,9009
8,4,百分比,0.3%,1.0%,2.2%,6.9%,7.8%,3.6%,0.5%,0.1%,22.2%
9,3,人數,30,176,423,1938,4133,3374,848,146,11068
10,3,百分比,0.1%,0.4%,1.0%,4.8%,10.2%,8.3%,2.1%,0.4%,27.3%
11,2,人數,6,45,130,709,2434,4758,2545,960,11587
12,2,百分比,0.0%,0.1%,0.3%,1.8%,6.0%,11.7%,6.3%,2.4%,28.6%
13,1,人數,,4,14,66,213,787,1241,1258,3583
14,1,百分比,,0.0%,0.0%,0.2%,0.5%,1.9%,3.1%,3.1%,8.8%
15,U,人數,,,1,14,24,71,167,645,922
16,U,百分比,,,0.0%,0.0%,0.1%,0.2%,0.4%,1.6%,2.3%
17,總數,人數,390,1158,2303,6992,10912,10699,5008,3036,40498
18,總數,百分比,1.0%,2.9%,5.7%,17.3%,26.9%,26.4%,12.4%,7.5%,100.0%
