行號,中國語文科成績,類別,英國語文科成績 - 5**,英國語文科成績 - 5*,英國語文科成績 - 5,英國語文科成績 - 4,英國語文科成績 - 3,英國語文科成績 - 2,英國語文科成績 - 1,英國語文科成績 - U,總數
1,5**,人數,62,99,90,102,55,13,,,421
2,5**,百分比,0.2%,0.3%,0.2%,0.3%,0.1%,0.0%,,,1.1%
3,5*,人數,79,180,259,420,244,53,5,,1240
4,5*,百分比,0.2%,0.5%,0.7%,1.1%,0.6%,0.1%,0.0%,,3.2%
5,5,人數,78,228,428,873,666,203,19,2,2497
6,5,百分比,0.2%,0.6%,1.1%,2.2%,1.7%,0.5%,0.0%,0.0%,6.4%
7,4,人數,100,387,829,2637,3087,1363,163,18,8584
8,4,百分比,0.3%,1.0%,2.1%,6.8%,7.9%,3.5%,0.4%,0.0%,22.1%
9,3,人數,57,206,513,2338,4561,3980,974,198,12827
10,3,百分比,0.1%,0.5%,1.3%,6.0%,11.7%,10.2%,2.5%,0.5%,33.0%
11,2,人數,10,64,157,634,1997,3913,2247,1039,10061
12,2,百分比,0.0%,0.2%,0.4%,1.6%,5.1%,10.1%,5.8%,2.7%,25.9%
13,1,人數,1,5,12,58,117,500,787,1022,2502
14,1,百分比,0.0%,0.0%,0.0%,0.1%,0.3%,1.3%,2.0%,2.6%,6.4%
15,U,人數,,1,2,18,29,49,141,502,742
16,U,百分比,,0.0%,0.0%,0.0%,0.1%,0.1%,0.4%,1.3%,1.9%
17,總數,人數,387,1170,2290,7080,10756,10074,4336,2781,38874
18,總數,百分比,1.0%,3.0%,5.9%,18.2%,27.7%,25.9%,11.2%,7.2%,100.0%
