行號,中國語文科成績,類別,英國語文科成績 - 5**,英國語文科成績 - 5*,英國語文科成績 - 5,英國語文科成績 - 4,英國語文科成績 - 3,英國語文科成績 - 2,英國語文科成績 - 1,英國語文科成績 - U,總數,,,,,,,,,,
1,5**,人數,86,126,91,122,51,10,,,486,,,,,,,,,,
2,5**,百分比,0.2%,0.3%,0.2%,0.3%,0.1%,0.0%,,,1.1%,,,,,,,,,,
3,5*,人數,99,230,317,462,233,62,4,1,1408,,,,,,,,,,
4,5*,百分比,0.2%,0.5%,0.7%,1.0%,0.5%,0.1%,0.0%,0.0%,3.1%,,,,,,,,,,
5,5,人數,105,327,532,1097,661,190,18,1,2931,,,,,,,,,,
6,5,百分比,0.2%,0.7%,1.2%,2.4%,1.5%,0.4%,0.0%,0.0%,6.5%,,,,,,,,,,
7,4,人數,104,389,1022,3127,3132,1227,184,16,9201,,,,,,,,,,
8,4,百分比,0.2%,0.9%,2.3%,6.9%,7.0%,2.7%,0.4%,0.0%,20.4%,,,,,,,,,,
9,3,人數,35,174,469,2316,4765,3633,873,138,12403,,,,,,,,,,
10,3,百分比,0.1%,0.4%,1.0%,5.1%,10.6%,8.1%,1.9%,0.3%,27.5%,,,,,,,,,,
11,2,人數,8,50,119,725,2755,5357,3160,1066,13240,,,,,,,,,,
12,2,百分比,0.0%,0.1%,0.3%,1.6%,6.1%,11.9%,7.0%,2.4%,29.4%,,,,,,,,,,
13,1,人數,2,4,13,53,211,896,1524,1672,4375,,,,,,,,,,
14,1,百分比,0.0%,0.0%,0.0%,0.1%,0.5%,2.0%,3.4%,3.7%,9.7%,,,,,,,,,,
15,U,人數,,,2,6,19,52,183,747,1009,,,,,,,,,,
16,U,百分比,,,0.0%,0.0%,0.0%,0.1%,0.4%,1.7%,2.2%,,,,,,,,,,
17,總數,人數,439,1300,2565,7908,11827,11427,5946,3641,45053,,,,,,,,,,
18,總數,百分比,1.0%,2.9%,5.7%,17.6%,26.3%,25.4%,13.2%,8.1%,100.0%,,,,,,,,,,
