行號,數學必修部分成績,類別,數學延伸部分成績 - 5**,數學延伸部分成績 - 5*,數學延伸部分成績 - 5,數學延伸部分成績 - 4,數學延伸部分成績 - 3,數學延伸部分成績 - 2,數學延伸部分成績 - 1,數學延伸部分成績 - U,總數
1,5**,人數,146,201,133,35,6,4,,,525
2,5**,百分比,2.3%,3.2%,2.1%,0.6%,0.1%,0.1%,,,8.3%
3,5*,人數,71,327,538,294,76,10,2,,1318
4,5*,百分比,1.1%,5.1%,8.5%,4.6%,1.2%,0.2%,0.0%,,20.8%
5,5,人數,10,113,453,634,332,70,11,1,1624
6,5,百分比,0.2%,1.8%,7.1%,10.0%,5.2%,1.1%,0.2%,0.0%,25.6%
7,4,人數,,11,147,514,851,510,145,26,2204
8,4,百分比,,0.2%,2.3%,8.1%,13.4%,8.0%,2.3%,0.4%,34.7%
9,3,人數,,,,6,84,186,191,67,534
10,3,百分比,,,,0.1%,1.3%,2.9%,3.0%,1.1%,8.4%
11,2,人數,,,,,1,13,54,69,137
12,2,百分比,,,,,0.0%,0.2%,0.9%,1.1%,2.2%
13,1,人數,,,,,,,1,5,6
14,1,百分比,,,,,,,0.0%,0.1%,0.1%
15,U,人數,,,,,,,,2,2
16,U,百分比,,,,,,,,0.0%,0.0%
17,總數,人數,227,652,1271,1483,1350,793,404,170,6350
18,總數,百分比,3.6%,10.3%,20.0%,23.4%,21.3%,12.5%,6.4%,2.7%,100.0%
